Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
01/13/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",MI,48103,,N/A,Referral,01/14/2015,Closed with monetary relief,Yes,No,1193590
04/27/2016,Consumer Loan,Vehicle loan,Managing the loan or lease,,"In XXXX of XXXX I bought a new car. The dealer told me that I would be contacted by Citizen One ( then RBS Citizens ) about the exact amount of each monthly payment and about the exact date each payment would be due. Sometime shortly after that Citizen One sent me my first monthly billing statement. For the next 2 1/2 years Citizen One set a precedent and created an expectation by regularly sending me monthly billing statements. During that time I faithfully made each payment on time and, on several occasions, made monthly payments for several months in advance. For these reasons I relied on receiving my monthly billing statement from Citizen One to know the exact amount of and the exact due date of my next loan installment. In XXXX XXXX Citizen One suddenly and unexpectedly stopped sending me billing statements. I did n't notice ( I had been habituated by their monthly notices and I had been trained to think of sending a payment only after I was notified ) and, as a direct result of Citizen One 's failure to send a monthly billing statement, I was late with my XXXX payment. When their credit department contacted me I sent 2 months payments ( current + one month in advance ) and notified them that I had n't received a statement. Their customer service representative told me that I should have received a monthly billing statement, it was Citizen One 's policy to do so, verified my contact information ( which had n't changed ) and, under the circumstances, waived the {$20.00} fee I had been assessed for being late. She also assured me that I would start to receive monthly billing statements again. Unfortunately, I did not. Nor did I notice. As a result of that failure on the part of Citizen One I was again contacted in XXXX by their credit department that I was late again. I immediately made 2 months payments ( current + one month in advance ) and pled with their customer service department to please get a monthly billing statement to me. Mail it, fax it, e-mail it - I did n't care. Just get one to me. This time they promised to mail me a paper statement and e-mail me my reminders. To date I have n't received either. As a result I was late again in XXXX. I am not accusing Citizen One of intentionally withholding my monthly billing statements but I find it very suspicious that all of my other mail is delivered without incident. I am never - and I do mean never - late with any of my other bills. I also find it convenient ( and profitable ) that Citizen One gains from their own failure! They are now refusing to waive XXXX {$20.00} late fees. Something is very wrong on their end and it is entirely unfair that I am being penalized for not being sent a monthly billing statement which serves as notification that a loan payment in a specific amount is due. Furthermore, I should not be charged {$20.00} fees when my payment is late as a result of neglect or failure on Citizen One 's part to send me a monthly billing statement. I suspect that I am not the only customer of Citizen One with this problem. I have made exhaustive efforts to remedy this issue with the bank but they are intransigent and so I am filing this compliant to get this situation resolved and, on the principles of being fair and taking responsibility for their part in creating this problem, get the outstanding late fees waived and ensure delivery of a monthly billing statement.",,"CITIZENS FINANCIAL GROUP, INC.",IN,460XX,,Consent provided,Web,04/29/2016,Closed with monetary relief,Yes,No,1898052
01/23/2012,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,,,JPMORGAN CHASE & CO.,OH,43227,,N/A,Web,01/23/2012,Closed without relief,Yes,Yes,15718
12/12/2012,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",NY,11355,,N/A,Postal mail,01/18/2013,Closed with explanation,Yes,No,209482
10/24/2012,Credit card,,Closing/Cancelling account,,,,WELLS FARGO & COMPANY,NC,28277,,N/A,Referral,10/24/2012,Closed with explanation,Yes,Yes,180809
06/29/2016,Credit card,,Customer service / Customer relations,,"I have a Citi Bank Att Universal credit card for over 13 y years. I can not manage my account on line since the the account is closed and I am not allowed online access. 
I have to contact customer service by phone in order to make changes or discuss my account. My complaint is about the customer service representatives. They are not professional and totally incompetent. I requested to have my automatic payment reduced from {$250.00} per mo. 
to {$120.00} and 3 different representatives assured me ( including a supervisor ) that the change was made but it was not. Since I can not manage my account online I have no recourse but to rely on customer service reps. 
Last night a rep was just telling me anything and I knew it was incorrect. She was a foreignor and she was totally incompetent and even lied about my account. I want to file a formal complaint about Citi Bank and take any necessary steps to do whatever to have this issue resolv resolved for me.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NJ,074XX,Older American,Consent provided,Web,06/29/2016,Closed with explanation,Yes,No,1990262
09/11/2016,Credit card,,Unsolicited issuance of credit card,,"I had gone into a Wells Fargo bank when I lived in XXXX XXXX California because I lost my Debit card, the teller had me meet with one of the managers at his desk, and they tried to talk me into a college credit card I told him I did n't want another credit card and no thank you I just needed a replacement debit card. Two weeks later I received a credit card and a debit card in the mail. I was so aggravated I worked XXXX jobs and was taking XXXX units in college I did n't have time to go to the bank or to sit on the phone right away to cancel the card. Within a couple of weeks I had a small overdraft and it went strait onto the credit card and at that point I knew this was going to show up on my credit report and I was trying to keep my revolving credit low. Since then I have been trying to pay this card off and close the account but it has cause me to have late payments and has just been a devstaing to my creidt and has blocked me from buying the home of my dreams.This card has been nothing but a headache affecting my ability to get a home, and a new car with a good rate this has been haunting me for a little while now. I had gone into the bank since then and told the teller and she stated I would have to call the bank. I was so shocked that someone could do this and they do n't even want to fire the guy, he was there at work that day I went in and pointed him out to the teller and all she said was to call. XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,NY,131XX,,Consent provided,Web,09/11/2016,Closed with explanation,Yes,No,2105627
10/19/2014,Other financial service,Credit repair,Fraud or scam,,,,"John C. Heath, Attorney at Law, PLLC",OR,97306,Servicemember,N/A,Web,10/20/2014,Closed with monetary relief,Yes,No,1077298
12/05/2012,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,WELLS FARGO & COMPANY,VA,22079,,N/A,Web,12/05/2012,Closed with explanation,Yes,No,203381
08/31/2016,Bank account or service,Savings account,"Account opening, closing, or management",,"XX/XX/XXXX, I submitted a letter to close my account with Ally Bank. XX/XX/XXXX, having not yet received a check, I called to understand status on XXXX XXXX, 2016. They said they mailed the check and would need to reissue a new check. Given the amount ( over {$190000.00} ), I asked them to expedite whatever paperwork was necessary. On XXXX XXXX, I had still not received any paperwork, so again called. They said they had not done anything as a result of my original request, but would send paperwork via email. Since I was traveling, I did not have access to a printer and the paperwork "" expired '' after 8 hours. The access to the paperwork was laborious at best as it was sent through a secured site. On XXXX XXXX, I called Ally Bank again ( spend another 30 minutes on the phone ) and they again indicated they would send out paperwork which would need to be notarized. They also indicated they had not yet cancelled the check. A few questions : 1 ) Why did they not immediately cancel the check on XXXX XXXX when I originally notifified them the check had been lost? 
2 ) Why did they not send out the paperwork after the XXXX XXXX call? 
3 ) Why does the paperwork expire after 8 hours so the consumer can not get access to their funds. Since I was traveling, this delayed me yet another 2 weeks? 
4 ) Why does the paperwork have to be notarized and why does it have to be sent through a secured site. On XXXX XXXX, the check had not been cashed, so I do not understand why this level of difficulty in getting access to my funds. 
5 ) Are they making the process inordinately difficult in order to keep my funds, in hopes XXXX XXXX not be relentless enough to spend hours on the phone, find a notary, decode a difficult and confusing software to access the paperwork and hope that they expedite my check and actually deliver it this time. 
I work in financial services, and take the CFPB very seriously. I have never made a complaint, but this situation has been so aggregious and so consumer unfriendly, I thought it important to bring it to your attention. I would appreciate any help you can give me to expedite this matter to a close for me and as importantly to provide Ally guidance on how to treat consumers in the future.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,ALLY FINANCIAL INC.,TX,787XX,Servicemember,Consent provided,Web,08/31/2016,Closed with explanation,Yes,No,2090442
02/08/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",MA,02131,,N/A,Web,02/08/2015,Closed with explanation,Yes,No,1230586
09/24/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,BARCLAYS BANK DELAWARE,CA,93215,Older American,N/A,Phone,09/25/2013,Closed with explanation,Yes,No,540480
10/28/2015,Bank account or service,Checking account,"Making/receiving payments, sending money",,,Company chooses not to provide a public response,WELLS FARGO & COMPANY,CA,94920,"Older American, Servicemember",N/A,Phone,10/28/2015,Closed with explanation,Yes,No,1630052
05/22/2014,Debt collection,Credit card,Disclosure verification of debt,Right to dispute notice not received,,,"CITIBANK, N.A.",IL,62234,Servicemember,N/A,Web,05/22/2014,Closed with monetary relief,Yes,No,865823
07/29/2016,Bank account or service,Checking account,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",PA,19130,,Consent not provided,Web,07/29/2016,Closed with non-monetary relief,Yes,No,2037508
10/17/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,OCWEN LOAN SERVICING LLC,GA,30906,,N/A,Web,10/18/2013,Closed with explanation,Yes,Yes,561908
09/12/2012,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Selene Finance LP,NY,11580,,N/A,Web,09/13/2012,Closed with explanation,Yes,Yes,151614
07/14/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,WA,99022,,Consent not provided,Web,07/14/2016,Closed with explanation,Yes,No,2011939
03/11/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,CAPITAL ONE FINANCIAL CORPORATION,NY,11213,,N/A,Web,03/12/2013,Closed with explanation,Yes,No,349856
09/17/2015,Bank account or service,Checking account,Using a debit or ATM card,,,Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MA,02556,,N/A,Referral,09/22/2015,Closed with explanation,Yes,No,1569469
07/14/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,AZ,85035,,Consent not provided,Web,07/14/2015,Closed with non-monetary relief,Yes,No,1467408
07/31/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"LTD Financial Services, LP",NY,11590,,N/A,Phone,08/16/2013,Closed with explanation,Yes,No,480930
03/25/2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,"ONEMAIN FINANCIAL HOLDINGS, LLC.",TX,76119,,N/A,Postal mail,04/01/2014,Closed with explanation,Yes,No,776401
10/05/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,,FIFTH THIRD FINANCIAL CORPORATION,FL,32067,,N/A,Referral,10/07/2015,Closed with explanation,Yes,No,1593704
05/26/2016,Credit card,,Billing disputes,,,,Comerica,MD,21158,,N/A,Referral,06/02/2016,Closed with explanation,Yes,No,1943648
10/26/2012,Bank account or service,(CD) Certificate of deposit,Using a debit or ATM card,,,,JPMORGAN CHASE & CO.,NY,10452,,N/A,Web,10/29/2012,Closed with explanation,Yes,No,178799
02/19/2016,Debt collection,Non-federal student loan,Disclosure verification of debt,Right to dispute notice not received,XXXX University under the XXXX XXXX umbrella sent me to collections for a debt of {$14000.00}. The school was later sued by your institution forcing them to shut down and sale all of their locations. The collection agency named Jefferson Capital System LLC is trying to collect a large sum of money for a school that lied not only to me but on me. XXXX University attempted to get me to take out a loan from XXXX for {$4700.00} at a 9.9 % interest rate to pay for one quarter. One of their representatives later told me I should take out a genesis loan for the amount of {$11000.00} which would cover the rest of the semester. I refused and explained to them I did n't have the money to pay for a loan. XXXX University locked me out of my online classes and school assigned email accounts. I do n't owe for classes I did not take nor did I finish school. They sent me to collection for not taking out a loan which is something I do not understand.,,CL HOLDINGS LLC,MS,392XX,,Consent provided,Web,02/19/2016,Closed with non-monetary relief,Yes,No,1793891
09/22/2015,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,Company chooses not to provide a public response,BB&T CORPORATION,LA,70126,,Consent not provided,Web,09/22/2015,Closed with explanation,Yes,No,1575170
07/26/2015,Credit reporting,,Incorrect information on credit report,Public record,,Company chooses not to provide a public response,Experian Information Solutions Inc.,GA,31021,Servicemember,Consent not provided,Web,07/26/2015,Closed with explanation,Yes,No,1487386
07/16/2015,Mortgage,Other mortgage,Other,,,,OCWEN LOAN SERVICING LLC,HI,96732,,N/A,Postal mail,07/21/2015,Closed with explanation,Yes,No,1471376
11/18/2014,Credit card,,Other,,,,"CITIBANK, N.A.",TN,38305,,N/A,Web,11/18/2014,Closed with explanation,Yes,Yes,1120560
06/24/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"This company continues to report on my credit report after I sent them a letter telling them that this account was not mine and I have no idea what it is or who it belongs to! 

I asked for proof of a signed contract, I asked for a license to collect in my state, I asked for copies of all information referenced for this debt and still to date, I have not received anything but harassment from this company!",Company believes it acted appropriately as authorized by contract or law,"Credit Bureau of the South, Inc.",LA,711XX,,Consent provided,Web,06/30/2015,Closed with explanation,Yes,No,1435962
04/20/2016,Debt collection,Federal student loan,False statements or representation,Attempted to collect wrong amount,"I was contacted by a collection agency for defaulted student loans. I was offered rehabilitation in XXXX XXXX. I agreed and was sent paperwork to sign and return and an automatic payment was set-up. In XXXX XXXX I was contacted and told my loan agreement was not returned. I again mailed the paperwork I had received from the agency. I thought that this was strange because my income/expense information and my payment information were both "" received '' and in effect at the time of the call in XXXX. In XXXX XXXX, I was contacted again by the same agency and told that my loan was not in rehabilitation because my paperwork had not been received. I had at this point made 10 consecutive payments. I agreed to re-sign and submit the documents again. I did so. My new address ( across the country ) was shown on the documents I electronically signed. I was contacted again in XXXX. XXXX. I was told again that my documents had not been returned and that I was not in rehabilitation. At this point, I have made 18 consecutive payments. The agency sent my "" loan agreement '' ( which is the most important document of the bunch ) to my former address even with my correct address on the income/expense and other documents. I am trying to qualify for a home loan and I show that I am still in default. The agency wants me to re-sign the documents for a 3rd time in order for me to begin the rehabilitation process. By the time it is finished, assuming that this time they will send me ALL of the documents I need to complete this program, it will have taken me 27 months to "" complete '' the rehabilitation process. The agency is telling me now that my options are to try to begin again and they have assured me that I will get all of the documents "" this time '' or to pay the full balance and still have the default notation which may prevent me from being able to qualify for a home loan until another 9 months has passed or even longer to wait for the notation to be removed. I was told that if I had returned the "" loan agreement '' then this would not be a problem. But I do n't think I have ever been sent one. This agency sends documents to "" qualify '' for the program including setting up a payment then is supposed to send a "" loan agreement '' to be signed and returned. However the only things I have received from this agency are the "" qualifying '' documents and the monthly notice of the payment.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Performant Financial Corporation,TN,377XX,,Consent provided,Web,04/20/2016,Closed with explanation,Yes,No,1888262
12/29/2014,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Experian Information Solutions Inc.,NV,89120,,N/A,Web,12/29/2014,Closed with explanation,Yes,No,1172448
06/06/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,"This complaint is being filed against Stellar Recovery in regards to the above reference account that Stellar Recovery Inc. Has illegally reported and listed on all XXXX major credit reporting agencies ( XXXX ). Please be advised that this is not a refusal to pay, but written notice sent in pursuant to the Fair Debt Collection Practices Act, 15USC 1692g Sec. 809 ( b ) that your claim is disputed and VALIDATION is requested. 
This is not a request for "" Verification '' or proof of my mailing address, but a request for "" VALIDATION '' made pursuant to the above named Title and section. I respectfully request that your offices provide me with competent evidence. 
Please provide me with the following : What the money you say I owe is for ; Explain and show me how you calculated what you say I owe ; Provide me with copies of any documents that show I agreed to pay what you say I owe ; Identify the original creditor ; Prove the Statute of Limitations has not expired on this account ; Show me that you are licensed to collect in my state ; Provide me with your license numbers and Registered AgentAt this time I will also inform you that if your offices have reported invalidated information to any of the XXXX major credit bureaus ( XXXX ) this action might constitute Fraud under both federal and state laws. Due to this fact, if any negative mark is found on any of my credit reports by your company, or companies that you represent. I will not hesitate in bringing legal action against Stellar Recovery Inc. for the following : Violation of the Fair Credit reporting Act Violation of the Fair Debt Collection Practices Act Defamation of character",Company believes it acted appropriately as authorized by contract or law,"Stellar Recovery, Inc.",CO,802XX,,Consent provided,Web,06/06/2015,Closed with explanation,Yes,Yes,1409445
12/11/2015,Credit reporting,,Incorrect information on credit report,Account status,,Company chooses not to provide a public response,Experian Information Solutions Inc.,KY,41143,,N/A,Postal mail,01/08/2016,Closed with non-monetary relief,Yes,No,1693014
12/02/2016,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Indicated committed crime not paying,"On XX/XX/2016 I called XXXX UVerse to cancel XXXX at XXXX, XXXX, KS XXXX. I was given cancellation confirmation number XXXX and a final payment confirmation XXXX and paid a final payment of approximately {$55.00}. The service was cancelled on XX/XX/2016. On XX/XX/2016 I received a call from Diversified Consultants, a collection agency, stating that I owed an additional {$150.00}! Diversified Consultants also told me that the "" bad debt '' would end up on my credit report if a payment was n't made that day. Worried and fearful of damage to my credit history ( which is perfect ), I made the payment for {$150.00} over the phone using my credit card. 

On the same day, after reviewing my notes ( and discovering that I had received confirmation numbers for my cancelation of service and final payment ), I called Diversified Consultants back and asked for a refund because I had previously paid XXXX XXXX XXXX the final amount. I was told the {$150.00} had already been sent XXXX & XXXX there was n't anything they can do to help me. I then contacted XXXX XXXX XXXX and at first they claimed the charge was for unreturned equipment and later claimed it was an early termination fee. After looking into both issues, theydetermined the equipment was returned and there was n't an early termination fee.Eventually they stated theycredited my account back {$99.00} but would not refund me the entire {$150.00}. I have now discovered that XXXX XXXX XXXX credited the CLOSED account {$99.00}, and XXXX XXXX XXXX is now claiming that the {$99.00} can not not be transferred to my active home account! 

XXXX XXXX XXXX and Diversified Consultants have violated the FDCPA and I am demanding the full {$150.00} back from XXXX XXXX XXXX. I did not ever owe XXXX XXXX XXXX or Diversified any funds and the XXXX should have not have called me and threatened to hurt my credit if I did not pay debt I did not owe. 

I demand a full refund via wire to my checking account, or a check issued in my name. 

Sincerely, XXXX XXXX",,"Diversified Consultants, Inc.",KS,660XX,,Consent provided,Web,12/02/2016,Closed with explanation,Yes,No,2233138
03/04/2015,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,32837,,N/A,Web,03/04/2015,Closed with explanation,Yes,No,1267418
02/20/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"Receivables Performance Management, LLC",NE,68601,,N/A,Web,02/20/2014,Closed with explanation,Yes,No,723461
06/17/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian Information Solutions Inc.,NY,11238,Servicemember,N/A,Fax,06/19/2013,Closed with non-monetary relief,Yes,No,434031
11/05/2014,Credit reporting,,Incorrect information on credit report,Public record,,,WELLS FARGO & COMPANY,FL,33579,,N/A,Web,11/10/2014,Closed with non-monetary relief,Yes,No,1102968
02/23/2017,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,"My concern is with Citcards XXXX Score information on their website. Their website is showing an inaccurate XXXX Score, they state that two situations impacted my score which are, late payments and missed payments and oldest account is to recent. Citibank receives this information from XXXX. I pulled my most recent credit file from XXXX and it does n't show any late payments nor missed payments, also my oldest account is XXXX years old. I called XXXX and they said I ca n't dispute anything because there is nothing to dispute and told me to call Citibank, Citibank tells me that they ca n't do anything because the information is from XXXX and that I need to dispute it with them, my credit file has nothing inaccurate to dispute, also other banks provide similar service and their scores are totally different for example ; XXXX score is XXXX, XXXX XXXX score is XXXX, but Citibank is showing XXXX, this problem has impacted my APRs on my credit cards from Citibank from 9 % to 16.24 %.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",MD,210XX,Servicemember,Consent provided,Web,02/28/2017,Closed with explanation,Yes,Yes,2357670
11/07/2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,JPMORGAN CHASE & CO.,CA,92377,,N/A,Referral,11/10/2014,Closed with explanation,Yes,No,1108129
10/26/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,HSBC NORTH AMERICA HOLDINGS INC.,CO,80237,,Consent not provided,Web,10/26/2016,Closed with explanation,Yes,Yes,2179844
03/25/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"Quality Recovery Services, Inc.",GA,30014,,N/A,Referral,03/29/2016,Closed with explanation,No,No,1849932
02/26/2016,Consumer Loan,Vehicle loan,Managing the loan or lease,,"I had several XXXX XX/XX/XXXX,XX/XX/XXXX and XX/XX/XXXX. Prior to my account becoming late, I contacted the Toyota Financial. I was told that I would be able to put the payments that I would miss on the end of the loan, so my account would not go late and would remain current. I was assured by the representative this would not result in me being reported late. It would however, result in my loan being extended. I agreed with the assurance that my credit would not be late. Nevertheless, I was given the wrong information, and Toyota reported my account late. I have tried the last 8 months to no avail. I was duped into extended my loan and the item being reported late on my credit.",,TOYOTA MOTOR CREDIT CORPORATION,IL,604XX,,Consent provided,Web,03/02/2016,Closed with explanation,Yes,Yes,1806140
09/26/2016,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"REVERSE MORTGAGE SOLUTIONS, INC.",MO,63110,Older American,N/A,Phone,09/26/2016,Closed with explanation,Yes,No,2130802
05/24/2016,Credit reporting,,Incorrect information on credit report,Personal information,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NC,27244,,Consent not provided,Web,05/24/2016,Closed with non-monetary relief,Yes,No,1938387
02/24/2015,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,WELLS FARGO & COMPANY,CA,91732,,N/A,Fax,03/03/2015,Closed with explanation,Yes,No,1254839
10/05/2016,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AL,36117,,Consent not provided,Web,10/05/2016,Closed with non-monetary relief,Yes,No,2148584
03/19/2012,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ditech Financial LLC,GA,30046,,N/A,Web,03/23/2012,Closed without relief,Yes,Yes,36567
05/20/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,OCWEN LOAN SERVICING LLC,MD,21037,Older American,Consent not provided,Web,05/20/2015,Closed with explanation,Yes,No,1384822
03/10/2014,Credit card,,Billing disputes,,,,"CITIBANK, N.A.",TX,78418,,N/A,Web,03/10/2014,Closed with monetary relief,Yes,No,752334
03/24/2017,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,"Naval Federal Credit union fail to pay bill as though their bill pay service as agreed resorting in my credit going bad they told me they was going to depute the reporting to each reporting company and did not also was to send me a copy of what they did and have not done so this was done to hurt my credit and then refused to help resolve the issue they made and lied about it which is why they did it intentionally They resent me letters to send to the bill of company 's they did n't pay instead they need to send them to company 's them self instead of sending them to me They need to fit this mess, the y told me they had sent a letter to the report company 's and did not, the left my account as if payments were being made instead my bills became slate and late fees was charged they claim it was due to fraud activity in my account but some the bills was paid and some was not if was do to fraud activity why was some bill was paid and some was not, the money has left my account so where did it go I have asked the question before to date no answer. They lied about what happen and did nothing to fix it and lied about the cause, I want to know where my money went. And they correct my credit I get approve for nothing the refer to the late payments caused by Navy Federal Credit Union.",Company believes it acted appropriately as authorized by contract or law,NAVY FEDERAL CREDIT UNION,VA,234XX,Older American,Consent provided,Web,03/24/2017,Closed with explanation,Yes,No,2401004
11/14/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Fidelity National Information Services, Inc. (FNIS)",CA,92860,,N/A,Phone,11/16/2016,Closed with explanation,Yes,No,2207360
08/23/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"SUNTRUST BANKS, INC.",NC,27312,,N/A,Referral,08/28/2012,Closed with explanation,Yes,No,140805
02/16/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",SC,29210,,N/A,Web,02/16/2015,Closed with explanation,Yes,No,1241561
02/20/2015,Bank account or service,Savings account,Deposits and withdrawals,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33027,,N/A,Web,02/20/2015,Closed with explanation,Yes,No,1250400
01/19/2017,Student loan,Non-federal student loan,Can't repay my loan,Can't temporarily postpone payments,,,"Navient Solutions, LLC.",PA,17844,,Consent not provided,Web,01/19/2017,Closed with explanation,Yes,No,2298950
05/14/2017,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,,"Collection Bureau of Fort Walton Beach, Inc",IN,46013,,Consent not provided,Web,05/14/2017,Closed with explanation,Yes,N/A,2484045
09/04/2016,Money transfers,Domestic (US) money transfer,Other transaction issues,,,,PAYPAL HOLDINGS INC.,MD,21221,,Consent not provided,Web,09/04/2016,Closed with non-monetary relief,Yes,No,2095581
02/25/2014,Mortgage,VA mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,AL,36277,,N/A,Referral,02/26/2014,Closed with explanation,Yes,No,730699
02/03/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33953,,N/A,Web,02/04/2013,Closed with explanation,Yes,No,289850
12/14/2016,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"This loan closed as a short sale with XXXX XXXX XXXX on XXXX/XXXX/16. The file closed, XXXX XXXX XXXX was paid, there was no money owing to them. Then recently the loan was transferred/sold from XXXX to Selene Finance. The loan should not have been transferred. Selene is now contacting the seller requesting payment and have not confirmed that the loan is paid. They are threatening foreclosure too.",,Selene Finance LP,WA,984XX,,Consent provided,Web,12/15/2016,Closed with explanation,Yes,No,2249278
07/10/2013,Debt collection,Credit card,False statements or representation,Impersonated an attorney or official,,,JPMORGAN CHASE & CO.,WA,98663,,N/A,Web,04/16/2014,Closed with explanation,Yes,Yes,453415
07/05/2012,Mortgage,Other mortgage,Other,,,,OCWEN LOAN SERVICING LLC,CA,92509,,N/A,Referral,07/10/2012,Closed with explanation,Yes,No,112526
05/18/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Called outside of 8am-9pm,Called several times a day. Some of the charges in the overdue account are due to cramming and therefore they can not assert that I do not owe these charges,,ENCORE CAPITAL GROUP INC.,GA,300XX,,Consent provided,Web,05/18/2016,Closed with explanation,Yes,No,1930479
11/10/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"The Indiana Department of Revenue contacted me recently, claiming that I may owe back taxes from 2011. However, I was a resident of another state that year, and paid my taxes there in full and on time. I wrote back with a letter attesting to this fact, with my state tax return attached. Although I responded before the indicated deadline, my response has been mostly ignored. Instead, I received XXXX subsequent letters within about a month, demanding payment as part of a tax amnesty program by XXXX XXXX. Otherwise, I was warned that I would be subject to double penalties, civil, and criminal liabilities. Subsequent calls to the Indiana DOR after each letter acknowledged the receipt of my original response. However, it has gone unread to date, and thus failed to affect these collection efforts. 

I recently learned that XXXX letters like the ones I received were sent out to innocent people. Indiana 's government contracted with Navient Corporation, and agreed to pay them based on how much money they bring in : XXXX",,"Navient Solutions, LLC.",IN,479XX,,Consent provided,Web,11/10/2015,Closed with explanation,Yes,No,1648017
03/04/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company believes it acted appropriately as authorized by contract or law,Ditech Financial LLC,MI,48328,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2371574
09/25/2014,Debt collection,Non-federal student loan,Communication tactics,Threatened to take legal action,,,"EXPERT GLOBAL SOLUTIONS, INC.",MD,20814,,N/A,Web,09/29/2014,Closed with explanation,Yes,Yes,1044243
01/31/2014,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Halsted Financial Services, LLC.",WI,54601,,N/A,Web,03/04/2014,Closed with explanation,No,No,694531
07/08/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,BTH Management,OH,43110,,Consent not provided,Web,07/23/2016,Closed with non-monetary relief,No,No,2004023
